Binomial,Intro,Est,Spread,NoLocs,LG,BM,GT,WA,NBM,LS,LY,AFB,RL,OV
Ateles_chamek,0,NA,NA,NA,42.8,7053.92,NA,NA,NA,NA,NA,NA,NA,NA
Ateles_fusciceps,0,NA,NA,NA,46,9067.94,224.7,482.7,499.99,1.01,0.5,1773.9,15016.1,0.048614487
Ateles_geoffroyi,0,NA,NA,NA,48,7582.4,226.37,816.35,425.85,1.01,0.32,2080.5,15439.5,0.073877069
Ateles_marginatus,0,NA,NA,NA,44,6229.28,NA,NA,NA,NA,NA,NA,NA,NA
Ateles_paniscus,0,NA,NA,NA,46,8697.25,228.18,805.41,478.64,1,0.5,1825,14965,0.048780488
Atelocynus_microtis,0,NA,NA,NA,11.9,8363.22,NA,NA,NA,NA,NA,NA,NA,NA
Atherurus_africanus,0,NA,NA,NA,22.91666667,2875.65,108.18,45.37,146.27,1.5,2.75,NA,NA,NA
Atherurus_macrourus,0,NA,NA,NA,NA,2000,NA,NA,NA,1.5,NA,NA,NA,NA
Atilax_paludinosus,0,NA,NA,NA,20.8,3600.16,77.27,35.89,100,2,2,NA,NA,NA
Atlantoxerus_getulus,1,1,NA,1,9,250.57,NA,NA,NA,NA,NA,NA,NA,NA
Auliscomys_boliviensis,0,NA,NA,NA,NA,70.91,NA,NA,NA,3.4,NA,NA,NA,NA
Auliscomys_pictus,0,NA,NA,NA,NA,48.97,NA,NA,NA,NA,NA,NA,NA,NA
Auliscomys_sublimis,0,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA
Avahi_laniger,0,NA,NA,NA,NA,1092.28,136.15,149.15,NA,1.01,1,941.7,NA,NA
Avahi_occidentalis,0,NA,NA,NA,NA,828.98,NA,NA,NA,1.02,NA,NA,NA,NA
Axis_axis,1,1,1,47,20.8,69499.99,227.49,121.66,3156.86,1.01,1,450,7142,0.051106133
Axis_calamianensis,0,NA,NA,NA,17.2,39812.6,224,NA,NA,2,NA,NA,NA,NA
Axis_kuhlii,0,NA,NA,NA,17.8,54999.99,227.49,NA,NA,1.22,1.3,NA,NA,NA
