Species,BM,WM,DT,RLS,LS,LPY
Felis_bieti,5486.95,636.895,226.32732,9912.16768,3.69,2.02
Felis_catus,2884.8,636.895,222.495,12106,4,1.5
Felis_chaus,7157.99,2212.5,385.7016667,6818.808333,2.94,2
Felis_silvestris,4573.08,636.895,288.99,9855,3.59,2
Galago_gallarum,250,108.335,196.09626,6588.981665,1.5,2
Galago_granti,277.615,108.335,235.66338,4084.55602,1.22,1
Galago_matschiei,211.61,108.335,196.09626,6588.981665,0.99,2
Galago_moholi,191.96,100,168.69,5799.85,1.6,2
Galago_nyasae,181.85,108.335,235.66338,6549.414545,1.5,2
Galago_senegalensis,215.2,108.335,417.07,6363.045,1.5,2
Galago_zanzibaricus,147.35,108.335,305.73,5657.5,1.29,2
Galea_musteloides,386.64,136.75,35.17833333,1211.191667,2.6,7
Galidia_elegans,810,183,677.4216667,8753.308333,1,1
Gazella_bennettii,18916.67,5505,397.11,8165.39,1.22,1.1
Gazella_dorcas,15635.95,5505,775.1,7814.05,1.22,1
Gazella_saudiya,16000,5505,381.0305,8151.53,1.22,1
Gazella_subgutturosa,26981.37,13500,446.6708,6736.9192,1.39,1
Geomys_arenarius,206,22.5,58.8,4287.2,4.71,2
Geomys_attwateri,144.06,22.5,58.8,4287.2,1.89,1
Geomys_breviceps,136.47,22.5,57,4289,2.53,1.7
Geomys_bursarius,203.75,22.5,84.6375,4260.4625,3.14,1
Geomys_knoxjonesi,172.49,22.5,61.90802,4287.2,3.39,1
Geomys_texensis,176.7,22.5,58.8,4287.2,3.39,1
Georychus_capensis,188.36,36,282.3366667,3783.833333,5.94,2
Gerbilliscus_brantsii,89.41,45,138.5116667,137.441,2.74,4
Gerbillurus_paeba,25.91,13.495,52.8975,1109.110513,3.64,2
Gerbillus_floweri,39.9,11,50.65,2914.85,3.3,5
Gerbillus_garamantis,39.9,11,50.65,2914.85,3.3,5
Gerbillus_hesperinus,28.4,11,50.65,2638.458333,4.08,3
Gerbillus_hoogstraali,39.9,11,50.65,2914.85,3.3,5
Gerbillus_perpallidus,52.22,17.23,66.50266,1914.36584,4.65,2
Gerbillus_pyramidum,42.8,11,51.27916667,2914.220833,3.3,5
Gerbillus_tarabuli,39.9,11,51.42387,2914.51038,3.385,5
Gerbillus_vivax,39.9,11,51.42387,2914.51038,3.385,5
Glaucomys_sabrinus,137.53,39.74,173.1625,4944.8375,3,1
Glaucomys_volans,71.9,46.2,272.4866667,6605.283333,3.13,2
Glirulus_japonicus,27,25.595,107.02,2409.98,4,1.5
Glis_glis,128.09,27.72,291.53,4060.63,5.17,1
Gorilla_beringei,149325.19,12595,2083.01,17129.94,1,0.3
Gorilla_gorilla,112588.99,12595,2729.65,16571,1.05,0.26
Gracilinanus_microtarsus,29.3,9,289.165,364.735,9.7,1
Gymnobelideus_leadbeateri,137.32,34,245.68,4781.5,1.54,2
Halichoerus_grypus,197570.01,42148.54,1806.63,15210.4625,0.96,0.93
Herpestes_ichneumon,2980.02,800,670.746,6569.773,3,1.5
Herpestes_javanicus,750,275,257.535,3348.875,2.21,2
Heterocephalus_glaber,39.36,11,200.845,11086.875,11.3,4.5
Hippopotamus_amphibius,1536310.4,237500,1140.99,20878,1,1
Hipposideros_fulvus,8.83,4.5,683.28,4025.14,1,1
Histriophoca_fasciata,90000,28077.14,705.5,10585,1,1
Homo_sapiens,58540.63,11750,4566.64,39420,1,0.485
Hyaena_brunnea,42977.93,27400,792.56,10548.5,2.3,0.4
Hydrochoeris_hydrochaeris,51572.455,8299,354.7918,5053.7082,3.485,1.25
Hydrochoeris_isthmius,51572.455,8299,354.7918,5053.7082,3.485,1.25
Hydromys_chrysogaster,626.17,150,128,2506.5,3.51,2.5
Hydrurga_leptonyx,352675.48,52308.57,1237.965,8221.625,0.96,1.1
Hylobates_agilis,5829.08,1070,2248.56058,17955.93714,1.02,0.475
Hylobates_albibarbis,180,100,232.77032,6550.936345,1.545,2
Hylobates_lar,5578.61,1070,2672.29,17041.85,1.01,0.45
Hylobates_moloch,5860.81,1070,2248.56058,17955.93714,1,0.42
Hylobates_muelleri,5909.81,1070,2248.56058,18159.72881,1.02,0.5
Hylobates_pileatus,5542.37,1070,1954.49772,18250,1,0.5
Hylomys_parvus,771,235,191.32868,4876.974,4.5,1.54
Hypsiprymnodon_moschatus,534.25,190.39,96.53,1825,2.04,1.1
Hypsugo_savii,6.3,4.34,26.56,377.59,2,1
Ictonyx_striatus,811.02,170,245.07,4805.84,2.3,1
Inia_geoffrensis,121430.76,11119.2,1460.97,9598.25,1,0.666666667
Isoodon_auratus,425,152.945,111.11,2274.4,2.6,2.2
Isoodon_macrourus,1505.77,125,85.01,2334,3.13,2.66
Isoodon_obesulus,824.76,152.945,129.555,2181.95,2.33,2.2
Jaculus_jaculus,59.8,20,237.3,2360.34,3.24,1.5
Kobus_kob,80035.21,31600,206.77,7605.39,1,1.3
Kobus_vardonii,71462.72,31600,211.25698,7597.8,1,1.3
Lagorchestes_conspicillatus,2821.01,950,172.94,2841.143333,1,1.71
Lagorchestes_hirsutus,1407.14,749.995,201.885,4475.24,1,2.92
Lagostomus_maximus,4660.94,652.2,309.32,3577,1.93,1.25
Lagostrophus_fasciatus,1933.48,359.99,122.73,1068.04,0.9,1.1
Lagurus_lagurus,20.6,5.75,33.66,1332.5,4,5.25
Lama_glama,78322.67,29000,416.1624,11752.6376,1,1
Lasionycteris_noctivagans,11.02,10.1,117.345,4226.66,1.77,1
Lasiorhinus_krefftii,31849.99,3816.5,263.115,10522.02333,1,1
Lasiorhinus_latifrons,26163.8,3816.5,2411.43,8176,1,1
Lasiurus_minor,20,5.84,332.25,574.625,2.985,1
Lasiurus_pfeifferi,12.33,5.84,332.25,574.625,3.12,1
Lasiurus_salinae,12.33,5.84,332.25,574.625,3.12,1
Lasiurus_seminolus,9.88,5.84,332.25,574.625,2.68,1
Lasiurus_xanthinus,11.815,5.84,316.49,1938.875,3.06,1
Lemniscomys_striatus,43.65,15,140.3158333,1584.404167,4.64,1.5
Leontopithecus_caissara,604.01,165,523.22738,10879.89782,1.95,1.75
Leontopithecus_chrysomelas,572.8,165,523.22738,10879.89782,2.04,1.75
Leontopithecus_chrysopygus,656.12,165,523.22738,10879.89782,1.95,1.75
Leontopithecus_rosalia,592.52,165,793.01,10665.3,1.94,1.75
Leopardus_pardalis,11880,3400,556.9033333,9629.916667,1.66,1
Leopardus_wiedii,3270.81,785.1,565.1208333,8101.479167,1.5,0.7
Leptonychotes_weddellii,400000,113958.565,1781.65,7300,1,1.1
Lepus_americanus,1568.42,401.45,342.02,2555,3.54,2.5
Lepus_arcticus,4412.73,491.995,287.019024,2203.150592,5.62,1.5
Lepus_californicus,2422.48,1300,223.6444,4063.5056,2.68,4.05
Lepus_capensis,2047.11,929.16,200.037264,3048.45436,2.44,3
Lepus_corsicanus,2115.185,652.495,198.85636,4152.33872,2.44,3.75
Lepus_europaeus,3816.43,652.495,206.0772693,4143.506064,2.14,4.4
Lepus_granatensis,2323.94,929.16,169.7952,3048.45436,1.46,3.14
Lepus_habessinicus,2015.56,929.16,169.7952,3048.45436,2.51,3.14
Lepus_othus,4837.35,492,322.0933333,6304,6.15,1
Lepus_saxatilis,2593.63,652.495,198.85636,4152.33872,1.52,5.35
Lepus_starcki,2760.67,929.16,169.7952,3048.45436,2.51,3.14
Lepus_tibetanus,3673.33,652.495,198.85636,4152.33872,2.44,3.75
Lepus_timidus,3105.42,491.995,242.581296,6304.286736,3.16,3
Lepus_tolai,1589,929.16,197.41084,3020.83872,2.93,3.14
Lepus_townsendii,3371.64,736.995,304.05296,2586.71704,4.49,3.29
Lobodon_carcinophaga,224999.99,120000,1793.68,12410,0.96,1
Lontra_canadensis,8087.42,1510,608.34,7665,2.67,0.94
Lophocebus_albigena,7418.71,2170,1262.89,11665.4,1.01,0.36
Lophocebus_aterrimus,6510.37,2170,1519.50488,11636.91179,1,0.4
Lophocebus_opdenboschi,4961.5,1036.25,1106.11236,15471.14,1,1
Lophuromys_aquilus,53.61,13.61,14.17194,2121.375,3.25,1
Lophuromys_brevicaudus,56.035,15.41,14.17194,212.804,2.305,1
Lophuromys_brunneus,56.035,15.41,14.17194,212.804,2.305,1
Lophuromys_chrysopus,56.035,15.41,14.17194,212.804,2.305,1
Lophuromys_eisentrauti,56.035,15.41,14.17194,212.804,2.305,1
Lophuromys_flavopunctatus,57.07,15.41,18.11333333,212.804,2.3,1
Lophuromys_zena,56.035,15.41,14.17194,212.804,2.305,1
Loris_lydekkerianus,254.06,139,221.255,6664.5,1.37,1.5
Loris_tardigradus,249.22,139,380.01,6497,1.44,1.5
Loxodonta_africana,3824539.93,600000,2378.7,25732.5,0.84,0.21
Loxodonta_cyclotis,4750000.01,600000,3165.00718,24946.19282,1,0.21
Lutra_nippon,612,160,252.165,4805.64,5.07,1.425
Lynx_lynx,19300,1860,416.096048,9284.053952,2.3,1
Lynx_rufus,6374.47,1860,487.51,11242,2.76,0.94
